# Logger type: CL1000
# HW rev: 8.1x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 286
# Split No.: 1
# Time: 20000101T000007
# Value separator: ";"
# Time format: 3
# Time separator: ":"
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 1000000
# Silent mode: false
# Cyclic mode: true
Timestamp;Type;ID;Data
00:00:07846;1;1a000013;0000000000000000
00:00:07852;1;1a000008;f3000000790c0000
00:00:07856;1;1a000007;11fd7205cdf541fc
00:00:07857;1;1a000006;aef9e627c3fb1f29
00:00:07859;1;1a00000c;0b12fc21da98ae11
00:00:07861;1;1a000003;1d021a028801d00c
00:00:07862;1;1a000013;0000000000000000
00:00:07869;1;1a000008;f3000000790c0000
00:00:07872;1;1a000007;e3fca70556f5cbfb
00:00:07874;1;1a000006;24fc202c63fb052b
00:00:07875;1;1a00000c;c212fc21ea3f8812
00:00:07877;1;1a000003;33024c028801d20c
00:00:07878;1;1a000013;0000000000000000
00:00:07885;1;1a000008;f3000000790c0000
00:00:07888;1;1a000007;a8fccc050bf54ffb
00:00:07890;1;1a000006;20fa9d2ce7fa372d
00:00:07891;1;1a00000c;7713fc2196948813
00:00:07893;1;1a000003;4a0281028801d20c
00:00:07895;1;1a000013;0000000000000000
00:00:07901;1;1a000008;f3000000790c0000
00:00:07904;1;1a000007;66fcf7057ff4d2fa
00:00:07906;1;1a000006;10fa173068fa5a2f
00:00:07908;1;1a00000c;2f14fc2100048514
00:00:07909;1;1a000003;6302bb028801d30c
00:00:07911;1;1a000013;0000000000000000
00:00:07916;1;1a000008;f3000000790c0000
00:00:07919;1;1a000007;41fc280678f42efa
00:00:07920;1;1a000006;59f83231f2f95731
00:00:07921;1;1a00000c;c714fc2113f34515
00:00:07922;1;1a000003;7702f8028801d30c
00:00:07923;1;1a000013;0000000000000000
00:00:07927;1;1a000008;f3000000790c0000
00:00:07929;1;1a000007;08fc3b0643f4cff9
00:00:07930;1;1a000006;1bf9ca3291f9fb32
00:00:07931;1;1a00000c;4015fc216ff3f915
00:00:07932;1;1a000003;8a0230038701d60c
00:00:07934;1;1a000013;0000000000000000
00:00:07938;1;1a000008;f3000000790c0000
00:00:07940;1;1a000007;f2fb53062ef448f9
00:00:07941;1;1a000006;6af8443225f99334
00:00:07943;1;1a00000c;b915fc21271cc616
00:00:07944;1;1a000003;9d025b038701d70c
00:00:07945;1;1a000013;0000000000000000
00:00:07950;1;1a000008;f3000000790c0000
00:00:07952;1;1a000007;d7fb43060ff36df8
00:00:07953;1;1a000006;d8f5db3161f87737
00:00:07955;1;1a00000c;2c16fc218bea0218
00:00:07956;1;1a000003;af0279038801d80c
00:00:07957;1;1a000013;0000000000000000
00:00:07962;1;1a000008;f3000000790c0000
00:00:07964;1;1a000007;a6fb2106eaf1a3f7
00:00:07965;1;1a000006;e6f053325af58c3a
00:00:07967;1;1a00000c;9116fc210f6c8a19
00:00:07968;1;1a000003;bf027d038801d80c
00:00:07969;1;1a000013;0000000000000000
00:00:07974;1;1a000008;f3000000790c0000
00:00:07976;1;1a000007;53fbdf052cf112f7
00:00:07977;1;1a000006;53e72d3435ed1b3c
00:00:07979;1;1a00000c;1017fc217f6ad21a
00:00:07980;1;1a000003;d402a9038801d70c
00:00:07981;1;1a000013;0000000000000000
00:00:07986;1;1a000008;f3000000790c0000
00:00:07988;1;1a000007;f8fa8f0533f03df6
00:00:07989;1;1a000006;f2e32b396be59c3d
00:00:07991;1;1a00000c;9317fc216bbfe51b
00:00:07992;1;1a000003;f00212048701d90c
00:00:07993;1;1a000013;0000000000000000
00:00:07998;1;1a000008;f3000000790c0000
00:00:08000;1;1a000007;a3fa3c05eaeefef4
